"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1532.3000000207685","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1537","0.0-0.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","","","","","","","","",""
"2014.6050000330433","","","survey-text","1","3574","0.0-1.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","{""Q0"":""dsf""}","","","","","","","",""
"573.9999999641441","","","survey-text","2","4152","0.0-2.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","{""Q0"":""sdf""}","","","","","","","",""
"2520.0100000365637","","","survey-multi-select","3","6676","0.0-3.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","{""Gender"":[""other""],""Hand"":[""No difference""]}","[0,1]","","","","","","",""
"1148.3850000076927","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","7828","0.0-4.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","","","50","50","","","","",""
"357.9449999961071","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","8188","0.0-5.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","","","50","50","","","","",""
"941.4799999794923","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","9130","0.0-6.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","","","50","50","","","","",""
"2278.9099999936298","","","survey-multi-select","7","11423","0.0-7.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","{""Sleep"":[""9""],""Eat"":[""9""]}","[0,1]","","","","","","",""
"2579.6700000064448","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","14005","0.0-8.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","17761","0.0-9.0-0.0","mo0l9h","Mon Feb 08 2021 10:48:26 GMT+0100 (Central European Standard Time)","2021","2","8","10","48","26","dsf","sdf","other","No difference","50","50","50","9","9","","","","","fixation","","","",""
